serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
,113,00010,00199,,,
,113,01010,01100,,,
,113,02010,02100,,,
,113,03010,03100,,,
,113,04010,04100,,,
,113,10010,10156,,,
,113,12010,18025,,,
,113,12071,17100,,,
,113,13010,13100,,,
,113,13811,13900,,,
,113,14010,14100,,,
,113,15010,15122,,,
,113,16010,16167,,,
,113,18010,18100,,,
,113,19010,19137,,,
,113,20010,20162,,,
,113,20811,20900,,,
,113,21010,21100,,,
,113,22010,22100,,,
,113,23010,23100,,,
,113,23801,23900,,,
,113,24010,24129,,,
,113,25010,25040,,,
,113,26010,26100,,,
,113,26811,26900,,,
,113,27010,27100,,,
,113,28010,28100,,,
,113,28801,28925,,,
,113,29010,29122,,,
,113,30010,30176,,,
,113,31010,31100,,,
,113,32010,32100,,,
,113,35010,35143,,,
,113,36010,36100,,,
,113,37010,37142,,,
,113,38010,38123,,,
,113,39010,39100,,,
,113,40010,40141,,,
,113,41011,41126,,,
,113,42010,42124,,,
,113,43010,43126,,,
,113,44011,44124,,,
,113,45010,45100,,,
,113,46010,46100,,,
,113,47010,47522,,,
,113,47814,47924,,,
,113,48010,48125,,,
,113,50012,50145,,,
,113,51010,51100,,,
,113,52010,52100,,,
,113,53011,53100,,,
,113,54010,54100,,,
,113,55011,55100,,,
,113,56010,56128,,,
,113,57014,57128,,,
,113,58010,58100,,,
,113,59013,59100,,,
,113,63061,63100,,,
,113,65010,65129,,,
,113,67010,67100,,,
,113,75010,75100,,,
,113,83010,83100,,,
,113,84010,84135,,,
,113,85010,85100,,,
,113,87010,87100,,,
,113,89010,89135,,,
,113,25042,25065,,,
,113,25068,25089,,,
,113,25121,25136,,,
,113,41025,41034,,,
,113,41036,41040,,,
,113,41042,41046,,,
,113,41048,41049,,,
,113,41051,41059,,,
,113,41121,41126,,,
,113,15015,15036,,,
,113,15038,15079,,,
,113,15100,15100,,,
,113,38015,38043,,,
,113,38045,38057,,,
,113,38059,38066,,,
,113,38068,38076,,,
,113,38078,38083,,,
,113,38085,38089,,,
,113,38100,38100,,,
,76,09000,09999,,,
,76,21000,21999,,,
,76,25000,25999,,,
,76,39000,39999,,,
,76,52000,52999,,,
,76,55000,55999,,,
,76,57000,57999,,,
,76,67000,67999,,,
,76,68000,68999,,,
,76,70000,70999,,,
,76,90000,90999,,,
,15,6444,6444,,,
,15,6450,6450,,,
,15,6456,6456,,,
,15,6458,6458,,,
,15,6551,6551,,,
,15,6571,6571,,,
,15,6553,6553,,,
,15,6555,6555,,,
,15,6561,6561,,,
,15,6562,6562,,,
,15,6563,6563,,,
,15,6574,6574,,,
,15,6580,6580,,,
,15,6754,6754,,,
,15,6767,6767,,,
,15,6888,6888,,,
,15,9844,9844,,,
,15,5640,5640,,,
,15,5630,5630,,,
,15,5612,5612,,,
,15,5611,5611,,,
,15,5632,5632,,,
,15,5542,5542,,,
,15,5645,5645,,,
,186,783 21,783 21,,,
