serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
,180,PH19,PH29,,,
,180,PH32,PH32,,,
,180,IV1,IV9,,,
,180,IV2,IV2,,,
,180,IV3,IV3,,,
,180,IV4,IV4,,,
,180,IV5,IV5,,,
,180,IV6,IV6,,,
,180,IV7,IV7,,,
,180,IV8,IV8,,,
,180,IV9,IV9,,,
,180,IV10,IV10,,,
,180,IV11,IV11,,,
,180,IV12,IV12,,,
,180,IV13,IV13,,,
,180,IV14,IV14,,,
,180,IV15,IV15,,,
,180,IV16,IV16,,,
,180,IV17,IV17,,,
,180,IV18,IV18,,,
,180,IV19,IV19,,,
,180,IV20,IV20,,,
,180,IV21,IV21,,,
,180,IV22,IV22,,,
,180,IV23,IV23,,,
,180,IV24,IV24,,,
,180,IV25,IV25,,,
,180,IV26,IV26,,,
,180,IV27,IV27,,,
,180,IV28,IV28,,,
,180,IV29,IV29,,,
,180,IV30,IV30,,,
,180,IV31,IV31,,,
,180,IV32,IV32,,,
,180,IV33,IV33,,,
,180,IV34,IV34,,,
,180,IV35,IV35,,,
,180,IV36,IV36,,,
,180,IV37,IV37,,,
,180,IV38,IV38,,,
,180,IV39,IV39,,,
,180,IV40,IV40,,,
,180,IV41,IV41,,,
,180,IV42,IV42,,,
,180,IV43,IV43,,,
,180,IV44,IV44,,,
,180,IV45,IV45,,,
,180,IV46,IV46,,,
,180,IV47,IV47,,,
,180,IV48,IV48,,,
,180,IV49,IV49,,,
,180,IV50,IV50,,,
,180,IV51,IV51,,,
,180,IV52,IV52,,,
,180,IV53,IV53,,,
,180,IV54,IV54,,,
,180,IV55,IV55,,,
,180,IV56,IV56,,,
,180,IV57,IV57,,,
,180,IV58,IV58,,,
,180,IV59,IV59,,,
,180,IV60,IV60,,,
,180,IV61,IV61,,,
,180,IV62,IV62,,,
,180,IV63,IV63,,,
,180,IV64,IV64,,,
,180,IV65,IV65,,,
,180,IV66,IV66,,,
,180,IV67,IV67,,,
,180,IV68,IV68,,,
,180,IV69,IV69,,,
,180,IV70,IV70,,,
,180,IV71,IV71,,,
,180,IV72,IV72,,,
,180,IV73,IV73,,,
,180,IV74,IV74,,,
,180,IV75,IV75,,,
,180,IV76,IV76,,,
,180,IV77,IV77,,,
,180,IV78,IV78,,,
,180,IV79,IV79,,,
,180,IV80,IV80,,,
,180,IV81,IV81,,,
,180,IV82,IV82,,,
,180,IV83,IV83,,,
,180,IV84,IV84,,,
,180,IV85,IV85,,,
,180,IV86,IV86,,,
,180,IV87,IV87,,,
,180,IV88,IV88,,,
,180,IV89,IV89,,,
,180,IV90,IV90,,,
,180,IV91,IV91,,,
,180,IV92,IV92,,,
,180,IV93,IV93,,,
,180,IV94,IV94,,,
