serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
21829,180,AB36,AB36,,,
21829,,,,180,AB36,AB36
21829,180,AB37,AB37,,,
21829,,,,180,AB37,AB37
21829,180,AB38,AB38,,,
21829,,,,180,AB38,AB38
21829,180,AB55,AB55,,,
21829,,,,180,AB55,AB55
21829,180,AB56,AB56,,,
21829,,,,180,AB56,AB56
21829,180,FK17,FK17,,,
21829,,,,180,FK17,FK17
21829,180,FK18,FK18,,,
21829,,,,180,FK18,FK18
21829,180,FK19,FK19,,,
21829,,,,180,FK19,FK19
21829,180,FK20,FK20,,,
21829,,,,180,FK20,FK20
21829,180,FK21,FK21,,,
21829,,,,180,FK21,FK21
21829,180,IV1,IV1,,,
21829,,,,180,IV1,IV1
21829,180,IV2,IV2,,,
21829,,,,180,IV2,IV2
21829,180,IV3,IV3,,,
21829,,,,180,IV3,IV3
21829,180,IV4,IV4,,,
21829,,,,180,IV4,IV4
21829,180,IV5,IV5,,,
21829,,,,180,IV5,IV5
21829,180,IV6,IV6,,,
21829,,,,180,IV6,IV6
21829,180,IV7,IV7,,,
21829,,,,180,IV7,IV7
21829,180,IV8,IV8,,,
21829,,,,180,IV8,IV8
21829,180,IV9,IV9,,,
21829,,,,180,IV9,IV9
21829,180,IV10,IV10,,,
21829,,,,180,IV10,IV10
21829,180,IV11,IV11,,,
21829,,,,180,IV11,IV11
21829,180,IV12,IV12,,,
21829,,,,180,IV12,IV12
21829,180,IV13,IV13,,,
21829,,,,180,IV13,IV13
21829,180,IV14,IV14,,,
21829,,,,180,IV14,IV14
21829,180,IV15,IV15,,,
21829,,,,180,IV15,IV15
21829,180,IV16,IV16,,,
21829,,,,180,IV16,IV16
21829,180,IV17,IV17,,,
21829,,,,180,IV17,IV17
21829,180,IV18,IV18,,,
21829,,,,180,IV18,IV18
21829,180,IV19,IV19,,,
21829,,,,180,IV19,IV19
21829,180,IV20,IV20,,,
21829,,,,180,IV20,IV20
21829,180,IV21,IV21,,,
21829,,,,180,IV21,IV21
21829,180,IV22,IV22,,,
21829,,,,180,IV22,IV22
21829,180,IV23,IV23,,,
21829,,,,180,IV23,IV23
21829,180,IV24,IV24,,,
21829,,,,180,IV24,IV24
21829,180,IV25,IV25,,,
21829,,,,180,IV25,IV25
21829,180,IV26,IV26,,,
21829,,,,180,IV26,IV26
21829,180,IV27,IV27,,,
21829,,,,180,IV27,IV27
21829,180,IV28,IV28,,,
21829,,,,180,IV28,IV28
21829,180,IV29,IV29,,,
21829,,,,180,IV29,IV29
21829,180,IV30,IV30,,,
21829,,,,180,IV30,IV30
21829,180,IV31,IV31,,,
21829,,,,180,IV31,IV31
21829,180,IV32,IV32,,,
21829,,,,180,IV32,IV32
21829,180,IV33,IV33,,,
