serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
20204,113,00020,00020,,,
20204,113,00030,00034,,,
20204,113,00037,00037,,,
20204,113,00040,00049,,,
20204,113,00071,00079,,,
20204,113,00118,00118,,,
20204,113,00128,00128,,,
20204,113,00134,00134,,,
20204,113,00142,00144,,,
20204,113,00147,00147,,,
20204,113,00178,00179,,,
20204,113,00181,00183,,,
20204,113,10010,10020,,,
20204,113,10022,10026,,,
20204,113,10028,10046,,,
20204,113,10048,10048,,,
20204,113,10050,10095,,,
20204,113,10098,10099,,,
20204,113,10121,10129,,,
20204,113,10131,10139,,,
20204,113,10141,10149,,,
20204,113,10151,10156,,,
20204,113,12010,12042,,,
20204,113,12044,12045,,,
20204,113,12047,12050,,,
20204,113,12058,12058,,,
20204,113,12060,12066,,,
20204,113,12068,12084,,,
20204,113,12087,12089,,,
20204,113,12100,12100,,,
20204,113,16010,16036,,,
20204,113,16038,16049,,,
20204,113,16121,16129,,,
20204,113,16131,16139,,,
20204,113,16141,16149,,,
20204,113,16151,16159,,,
20204,113,16161,16167,,,
20204,113,20010,20030,,,
20204,113,20032,20032,,,
20204,113,20071,20071,,,
20204,113,20080,20090,,,
20204,113,20094,20094,,,
20204,113,20136,20136,,,
20204,113,20139,20139,,,
20204,113,20141,20149,,,
20204,113,20151,20158,,,
20204,113,20816,20816,,,
20204,113,21010,21059,,,
20204,113,21061,21062,,,
20204,113,21100,21100,,,
20204,113,24010,24069,,,
20204,113,24121,24129,,,
20204,113,25010,25040,,,
20204,113,25042,25065,,,
20204,113,25068,25089,,,
20204,113,25121,25129,,,
20204,113,25131,25136,,,
20204,113,40010,40019,,,
20204,113,40030,40030,,,
20204,113,40032,40038,,,
20204,113,40041,40043,,,
20204,113,40046,40046,,,
20204,113,40048,40048,,,
20204,113,40050,40057,,,
20204,113,40060,40065,,,
20204,113,40067,40069,,,
20204,113,40121,40129,,,
20204,113,40131,40139,,,
20204,113,40141,40141,,,
20204,113,41011,41023,,,
20204,113,41025,41040,,,
20204,113,41042,41046,,,
20204,113,41048,41049,,,
20204,113,41051,41059,,,
20204,113,41121,41126,,,
20204,113,50012,50014,,,
20204,113,50018,50019,,,
20204,113,50022,50023,,,
20204,113,50026,50028,,,
20204,113,50031,50033,,,
20204,113,50036,50039,,,
20204,113,50041,50041,,,
20204,113,50060,50068,,,
20204,113,50121,50127,,,
20204,113,50129,50129,,,
20204,113,50131,50137,,,
20204,113,50139,50139,,,
20204,113,50141,50145,,,
20204,113,51010,51013,,,
20204,113,51015,51020,,,
20204,113,51024,51024,,,
20204,113,51028,51028,,,
20204,113,51031,51031,,,
20204,113,51034,51034,,,
20204,113,51037,51037,,,
20204,113,51039,51039,,,
20204,113,51100,51100,,,
20204,113,59013,59013,,,
20204,113,59021,59021,,,
20204,113,59024,59026,,,
20204,113,59100,59100,,,
20204,113,64030,64031,,,
20204,113,64033,64035,,,
20204,113,65010,65010,,,
20204,113,67010,67010,,,
20204,113,67012,67015,,,
20204,113,67017,67017,,,
20204,113,67019,67029,,,
20204,113,67035,67035,,,
20204,113,67039,67041,,,
20204,113,67043,67064,,,
20204,113,67066,67069,,,
20204,113,67100,67100,,,
20204,113,83031,83031,,,
20204,113,84030,84030,,,
20204,113,84035,84036,,,
20204,113,85047,85047,,,
20204,113,86016,86016,,,
20204,113,86036,86036,,,
20204,113,87038,87038,,,
20204,113,89064,89064,,,
20204,,,,113,00020,00020
20204,,,,113,00030,00034
20204,,,,113,00037,00037
20204,,,,113,00040,00049
20204,,,,113,00071,00079
20204,,,,113,00118,00118
20204,,,,113,00128,00128
20204,,,,113,00134,00134
20204,,,,113,00142,00144
20204,,,,113,00147,00147
20204,,,,113,00178,00179
20204,,,,113,00181,00183
20204,,,,113,10010,10020
20204,,,,113,10022,10026
20204,,,,113,10028,10046
20204,,,,113,10048,10048
20204,,,,113,10050,10095
20204,,,,113,10098,10099
20204,,,,113,10121,10129
20204,,,,113,10131,10139
20204,,,,113,10141,10149
20204,,,,113,10151,10156
20204,,,,113,12010,12042
20204,,,,113,12044,12045
20204,,,,113,12047,12050
20204,,,,113,12058,12058
20204,,,,113,12060,12066
20204,,,,113,12068,12084
20204,,,,113,12087,12089
20204,,,,113,12100,12100
20204,,,,113,16010,16036
20204,,,,113,16038,16049
20204,,,,113,16121,16129
20204,,,,113,16131,16139
20204,,,,113,16141,16149
20204,,,,113,16151,16159
20204,,,,113,16161,16167
20204,,,,113,20010,20030
20204,,,,113,20032,20032
20204,,,,113,20071,20071
20204,,,,113,20080,20090
20204,,,,113,20094,20094
20204,,,,113,20136,20136
20204,,,,113,20139,20139
20204,,,,113,20141,20149
20204,,,,113,20151,20158
20204,,,,113,20816,20816
20204,,,,113,21010,21059
20204,,,,113,21061,21062
20204,,,,113,21100,21100
20204,,,,113,24010,24069
20204,,,,113,24121,24129
20204,,,,113,25010,25040
20204,,,,113,25042,25065
20204,,,,113,25068,25089
20204,,,,113,25121,25129
20204,,,,113,25131,25136
20204,,,,113,40010,40019
20204,,,,113,40030,40030
20204,,,,113,40032,40038
20204,,,,113,40041,40043
20204,,,,113,40046,40046
20204,,,,113,40048,40048
20204,,,,113,40050,40057
20204,,,,113,40060,40065
20204,,,,113,40067,40069
20204,,,,113,40121,40129
20204,,,,113,40131,40139
20204,,,,113,40141,40141
20204,,,,113,41011,41023
20204,,,,113,41025,41040
20204,,,,113,41042,41046
20204,,,,113,41048,41049
20204,,,,113,41051,41059
20204,,,,113,41121,41126
20204,,,,113,50012,50014
20204,,,,113,50018,50019
20204,,,,113,50022,50023
20204,,,,113,50026,50028
20204,,,,113,50031,50033
20204,,,,113,50036,50039
20204,,,,113,50041,50041
20204,,,,113,50060,50068
20204,,,,113,50121,50127
20204,,,,113,50129,50129
20204,,,,113,50131,50137
20204,,,,113,50139,50139
20204,,,,113,50141,50145
20204,,,,113,51010,51013
20204,,,,113,51015,51020
20204,,,,113,51024,51024
20204,,,,113,51028,51028
20204,,,,113,51031,51031
20204,,,,113,51034,51034
20204,,,,113,51037,51037
20204,,,,113,51039,51039
20204,,,,113,51100,51100
20204,,,,113,59013,59013
20204,,,,113,59021,59021
20204,,,,113,59024,59026
20204,,,,113,59100,59100
20204,,,,113,64030,64031
20204,,,,113,64033,64035
20204,,,,113,65010,65010
20204,,,,113,67010,67010
20204,,,,113,67012,67015
20204,,,,113,67017,67017
20204,,,,113,67019,67029
20204,,,,113,67035,67035
20204,,,,113,67039,67041
20204,,,,113,67043,67064
20204,,,,113,67066,67069
20204,,,,113,67100,67100
20204,,,,113,83031,83031
20204,,,,113,84030,84030
20204,,,,113,84035,84036
20204,,,,113,85047,85047
20204,,,,113,86016,86016
20204,,,,113,86036,86036
20204,,,,113,87038,87038
20204,,,,113,89064,89064
21337,113,00020,00020,,,
21337,113,00030,00034,,,
21337,113,00037,00037,,,
21337,113,00040,00049,,,
21337,113,00071,00079,,,
21337,113,00118,00118,,,
21337,113,00128,00128,,,
21337,113,00134,00134,,,
21337,113,00142,00144,,,
21337,113,00147,00147,,,
21337,113,00178,00179,,,
21337,113,00181,00183,,,
21337,113,10010,10020,,,
21337,113,10022,10026,,,
21337,113,10028,10046,,,
21337,113,10048,10048,,,
21337,113,10050,10095,,,
21337,113,10098,10099,,,
21337,113,10121,10129,,,
21337,113,10131,10139,,,
21337,113,10141,10149,,,
21337,113,10151,10156,,,
21337,113,12010,12042,,,
21337,113,12044,12045,,,
21337,113,12047,12050,,,
21337,113,12058,12058,,,
21337,113,12060,12066,,,
21337,113,12068,12084,,,
21337,113,12087,12089,,,
21337,113,12100,12100,,,
21337,113,16010,16036,,,
21337,113,16038,16049,,,
21337,113,16121,16129,,,
21337,113,16131,16139,,,
21337,113,16141,16149,,,
21337,113,16151,16159,,,
21337,113,16161,16167,,,
21337,113,20010,20030,,,
21337,113,20032,20032,,,
21337,113,20071,20071,,,
21337,113,20080,20090,,,
21337,113,20094,20094,,,
21337,113,20136,20136,,,
21337,113,20139,20139,,,
21337,113,20141,20149,,,
21337,113,20151,20158,,,
21337,113,20816,20816,,,
21337,113,21010,21059,,,
21337,113,21061,21062,,,
21337,113,21100,21100,,,
21337,113,24010,24069,,,
21337,113,24121,24129,,,
21337,113,25010,25040,,,
21337,113,25042,25065,,,
21337,113,25068,25089,,,
21337,113,25121,25129,,,
21337,113,25131,25136,,,
21337,113,40010,40019,,,
21337,113,40030,40030,,,
21337,113,40032,40038,,,
21337,113,40041,40043,,,
21337,113,40046,40046,,,
21337,113,40048,40048,,,
21337,113,40050,40057,,,
21337,113,40060,40065,,,
21337,113,40067,40069,,,
21337,113,40121,40129,,,
21337,113,40131,40139,,,
21337,113,40141,40141,,,
21337,113,41011,41023,,,
21337,113,41025,41040,,,
21337,113,41042,41046,,,
21337,113,41048,41049,,,
21337,113,41051,41059,,,
21337,113,41121,41126,,,
21337,113,50012,50014,,,
21337,113,50018,50019,,,
21337,113,50022,50023,,,
21337,113,50026,50028,,,
21337,113,50031,50033,,,
21337,113,50036,50039,,,
21337,113,50041,50041,,,
21337,113,50060,50068,,,
21337,113,50121,50127,,,
21337,113,50129,50129,,,
21337,113,50131,50137,,,
21337,113,50139,50139,,,
21337,113,50141,50145,,,
21337,113,51010,51013,,,
21337,113,51015,51020,,,
21337,113,51024,51024,,,
21337,113,51028,51028,,,
21337,113,51031,51031,,,
21337,113,51034,51034,,,
21337,113,51037,51037,,,
21337,113,51039,51039,,,
21337,113,51100,51100,,,
21337,113,59013,59013,,,
21337,113,59021,59021,,,
21337,113,59024,59026,,,
21337,113,59100,59100,,,
21337,113,64030,64031,,,
21337,113,64033,64035,,,
21337,113,65010,65010,,,
21337,113,67010,67010,,,
21337,113,67012,67015,,,
21337,113,67017,67017,,,
21337,113,67019,67029,,,
21337,113,67035,67035,,,
21337,113,67039,67041,,,
21337,113,67043,67064,,,
21337,113,67066,67069,,,
21337,113,67100,67100,,,
21337,113,83031,83031,,,
21337,113,84030,84030,,,
21337,113,84035,84036,,,
21337,113,85047,85047,,,
21337,113,86016,86016,,,
21337,113,86036,86036,,,
21337,113,87038,87038,,,
21337,113,89064,89064,,,
21337,,,,113,00020,00020
21337,,,,113,00030,00034
21337,,,,113,00037,00037
21337,,,,113,00040,00049
21337,,,,113,00071,00079
21337,,,,113,00118,00118
21337,,,,113,00128,00128
21337,,,,113,00134,00134
21337,,,,113,00142,00144
21337,,,,113,00147,00147
21337,,,,113,00178,00179
21337,,,,113,00181,00183
21337,,,,113,10010,10020
21337,,,,113,10022,10026
21337,,,,113,10028,10046
21337,,,,113,10048,10048
21337,,,,113,10050,10095
21337,,,,113,10098,10099
21337,,,,113,10121,10129
21337,,,,113,10131,10139
21337,,,,113,10141,10149
21337,,,,113,10151,10156
21337,,,,113,12010,12042
21337,,,,113,12044,12045
21337,,,,113,12047,12050
21337,,,,113,12058,12058
21337,,,,113,12060,12066
21337,,,,113,12068,12084
21337,,,,113,12087,12089
21337,,,,113,12100,12100
21337,,,,113,16010,16036
21337,,,,113,16038,16049
21337,,,,113,16121,16129
21337,,,,113,16131,16139
21337,,,,113,16141,16149
21337,,,,113,16151,16159
21337,,,,113,16161,16167
21337,,,,113,20010,20030
21337,,,,113,20032,20032
21337,,,,113,20071,20071
21337,,,,113,20080,20090
21337,,,,113,20094,20094
21337,,,,113,20136,20136
21337,,,,113,20139,20139
21337,,,,113,20141,20149
21337,,,,113,20151,20158
21337,,,,113,20816,20816
21337,,,,113,21010,21059
21337,,,,113,21061,21062
21337,,,,113,21100,21100
21337,,,,113,24010,24069
21337,,,,113,24121,24129
21337,,,,113,25010,25040
21337,,,,113,25042,25065
21337,,,,113,25068,25089
21337,,,,113,25121,25129
21337,,,,113,25131,25136
21337,,,,113,40010,40019
21337,,,,113,40030,40030
21337,,,,113,40032,40038
21337,,,,113,40041,40043
21337,,,,113,40046,40046
21337,,,,113,40048,40048
21337,,,,113,40050,40057
21337,,,,113,40060,40065
21337,,,,113,40067,40069
21337,,,,113,40121,40129
21337,,,,113,40131,40139
21337,,,,113,40141,40141
21337,,,,113,41011,41023
21337,,,,113,41025,41040
21337,,,,113,41042,41046
21337,,,,113,41048,41049
21337,,,,113,41051,41059
21337,,,,113,41121,41126
21337,,,,113,50012,50014
21337,,,,113,50018,50019
21337,,,,113,50022,50023
21337,,,,113,50026,50028
21337,,,,113,50031,50033
21337,,,,113,50036,50039
21337,,,,113,50041,50041
21337,,,,113,50060,50068
21337,,,,113,50121,50127
21337,,,,113,50129,50129
21337,,,,113,50131,50137
21337,,,,113,50139,50139
21337,,,,113,50141,50145
21337,,,,113,51010,51013
21337,,,,113,51015,51020
21337,,,,113,51024,51024
21337,,,,113,51028,51028
21337,,,,113,51031,51031
21337,,,,113,51034,51034
21337,,,,113,51037,51037
21337,,,,113,51039,51039
21337,,,,113,51100,51100
21337,,,,113,59013,59013
21337,,,,113,59021,59021
21337,,,,113,59024,59026
21337,,,,113,59100,59100
21337,,,,113,64030,64031
21337,,,,113,64033,64035
21337,,,,113,65010,65010
21337,,,,113,67010,67010
21337,,,,113,67012,67015
21337,,,,113,67017,67017
21337,,,,113,67019,67029
21337,,,,113,67035,67035
21337,,,,113,67039,67041
21337,,,,113,67043,67064
21337,,,,113,67066,67069
21337,,,,113,67100,67100
21337,,,,113,83031,83031
21337,,,,113,84030,84030
21337,,,,113,84035,84036
21337,,,,113,85047,85047
21337,,,,113,86016,86016
21337,,,,113,86036,86036
21337,,,,113,87038,87038
21337,,,,113,89064,89064
20203,113,00020,00020,,,
20203,113,00030,00034,,,
20203,113,00037,00037,,,
20203,113,00040,00049,,,
20203,113,00071,00079,,,
20203,113,00118,00118,,,
